generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
37,37,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34584362593833956,0.34584362593833956
37,37,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3693062233021041,0.3693062233021041
37,37,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3587262839029132,0.3587262839029132
37,37,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3543657545024306,0.3543657545024306
38,38,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3465578032935509,0.3465578032935509
38,38,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.347373189087921,0.347373189087921
38,38,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3691406927807276,0.3691406927807276
38,38,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.35679122378198197,0.35679122378198197
38,38,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.35032202557446795,0.35032202557446795
39,39,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34488908242590494,0.34488908242590494
39,39,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3468742305907995,0.3468742305907995
39,39,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3703788368484335,0.3703788368484335
39,39,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3542402418307225,0.3542402418307225
39,39,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34931946426637334,0.34931946426637334
40,40,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34598739080623664,0.34598739080623664
40,40,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3477908047770337,0.3477908047770337
40,40,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3692454668037122,0.3692454668037122
40,40,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.35780048174993223,0.35780048174993223
40,40,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.35635432607324063,0.35635432607324063
41,41,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34476079624220374,0.34476079624220374
41,41,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34648063174127225,0.34648063174127225
41,41,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36997348219280535,0.36997348219280535
41,41,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3563626108197568,0.3563626108197568
41,41,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.35473937448655146,0.35473937448655146
42,42,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3446557213662465,0.3446557213662465
42,42,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3475319425724988,0.3475319425724988
42,42,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3695835828994887,0.3695835828994887
42,42,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.35561001324322045,0.35561001324322045
42,42,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3493258795173766,0.3493258795173766
43,43,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34773940763994676,0.34773940763994676
43,43,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34456096962514227,0.34456096962514227
43,43,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3692167844507524,0.3692167844507524
43,43,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.35527550606197256,0.35527550606197256
43,43,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.35112861801730644,0.35112861801730644
44,44,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3469922993107356,0.3469922993107356
44,44,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3474511446872443,0.3474511446872443
44,44,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36912770545942103,0.36912770545942103
44,44,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3540669874239471,0.3540669874239471
44,44,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.350841512972935,0.350841512972935
45,45,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34709507693527386,0.34709507693527386
45,45,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34489595171416626,0.34489595171416626
45,45,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3675343016008616,0.3675343016008616
45,45,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3550549474693802,0.3550549474693802
45,45,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3475797454107646,0.3475797454107646
46,46,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.347991235875088,0.347991235875088
46,46,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3464163353597902,0.3464163353597902
46,46,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3677956138286053,0.3677956138286053
46,46,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3549867657859902,0.3549867657859902
46,46,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34763789569547043,0.34763789569547043
47,47,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34582906483022474,0.34582906483022474
47,47,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34586847440360174,0.34586847440360174
47,47,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36862331240558693,0.36862331240558693
47,47,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.355106505762544,0.355106505762544
47,47,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3479132332565557,0.3479132332565557
48,48,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34716994555572744,0.34716994555572744
48,48,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3454422903249162,0.3454422903249162
48,48,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3663604083916042,0.3663604083916042
